title,genre,rating,voting,duration,storyline
Bob Trevino Likes It,comedy,7.5,2.6K,1h 41m,"When lonely 20-something Lily Trevino accidentally befriends a stranger online who shares the same name as her own self-centered father, encouragement and support from this new Bob Trevino could change her life."
Bolero,western,3.0,30,,A woman travels through dimensions to find a distant man.
Boléro,music,6.6,910,2h,"In 1928 Paris, choreographer Ida Rubinstein commissions Maurice Ravel to compose the music for her next ballet. Facing a crisis of inspiration, the composer revisits his life and dedicates himself to create a universal masterpiece, Bolero."
Boneyard,"crime, mystery",4.1,5.3K,1h 36m,Inspired by the true events of a serial killer that may still be out there today.
Bonhoeffer: Pastor. Spy. Assassin.,"history, biography",6.2,3.9K,2h 13m,"As the world teeters on the brink of annihilation, Dietrich Bonhoeffer joins a deadly plot to assassinate Hitler, risking his faith and fate to save millions of Jews from genocide."
Bonjour Tristesse,romance,5.9,495,1h 50m,Cécile's relaxing summer with her father in the south of France is upended by the arrival of the enigmatic Anne.
Bonnie and Clyde: The Musical,musical,7.6,110,2h 30m,Two small-town kids from the middle of nowhere became the biggest folk heroes in all America. They craved adventure-and each other.
Borderlands,"sci-fi, comedy, thriller, action, adventure",4.7,51K,1h 41m,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
Boxer,sport,6.4,1.4K,2h 30m,Eryk Kulm Jr. leaves communist Poland to become a boxer but struggles as an immigrant. He agrees to participate in a rigged fight that alters his life's trajectory.
Boys Go to Jupiter,animation,6.8,119,1h 30m,"A teenager in suburban Florida desperately hustles to make $5,000 in this dreamy and surreal animated coming-of-age story."
Bring on the Damned!,musical,8.1,11,1h 54m,"Five tales of perversion, obsession, blasphemy, nihilism, and sadism."
Brothers,crime,5.4,14K,1h 29m,"Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction."
Buffalo Kids,"western, family",6.6,781,1h 33m,"Two Irish orphans journey by train across America, encountering villains and heroes. They make an extraordinary friend and search for a new home, facing adventures and dangers along the way."
Bushido,history,6.9,513,2h 9m,"Kakunoshin Yanagida was a samurai, forced to leave the Han due to a false accusation. He then lived in poverty with his daughter Kinu."
Buy Now! The Shopping Conspiracy,documentary,6.7,6.8K,1h 24m,"Pulls back the curtain on the world's top brands, exposing the hidden tactics and covert strategies used to keep all of us locked in an endless cycle of buying, no matter the cost."
